"date_start","date_end","region","sub_region_1","coverage_type","coverage_cum_percent","coverage_cum_individuals"
"2021-02-21","2021-02-27","ON",,"At least one dose",2.71776225705851,417607
"2021-02-21","2021-02-27","ON",,"Completed primary series",1.60284110728733,246290
"2021-02-21","2021-02-27","ON",,"Completed primary series and 1 booster dose",1.30158845855482e-05,2
"2021-02-21","2021-02-27","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-02-28","2021-03-06","ON",,"At least one dose",4.02731643697969,618831
"2021-02-28","2021-03-06","ON",,"Completed primary series",1.66903989628943,256462
"2021-02-28","2021-03-06","ON",,"Completed primary series and 1 booster dose",2.60317691710964e-05,4
"2021-02-28","2021-03-06","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-03-07","2021-03-13","ON",,"At least one dose",5.66114836546521,869883
"2021-03-07","2021-03-13","ON",,"Completed primary series",1.76141362919307,270656
"2021-03-07","2021-03-13","ON",,"Completed primary series and 1 booster dose",4.55555960494187e-05,7
"2021-03-07","2021-03-13","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-03-14","2021-03-20","ON",,"At least one dose",7.87366001468192,1209854
"2021-03-14","2021-03-20","ON",,"Completed primary series",1.84918624689571,284143
"2021-03-14","2021-03-20","ON",,"Completed primary series and 1 booster dose",6.5079422927741e-05,10
"2021-03-14","2021-03-20","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-03-21","2021-03-27","ON",,"At least one dose",10.7068276124182,1645194
"2021-03-21","2021-03-27","ON",,"Completed primary series",1.94938903437755,299540
"2021-03-21","2021-03-27","ON",,"Completed primary series and 1 booster dose",9.11111920988374e-05,14
"2021-03-21","2021-03-27","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-03-28","2021-04-03","ON",,"At least one dose",13.9097699832876,2137353
"2021-03-28","2021-04-03","ON",,"Completed primary series",2.07557152749215,318929
"2021-03-28","2021-04-03","ON",,"Completed primary series and 1 booster dose",0.00011063501897716,17
"2021-03-28","2021-04-03","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-04-04","2021-04-10","ON",,"At least one dose",18.0430422287359,2772465
"2021-04-04","2021-04-10","ON",,"Completed primary series",2.20717513653663,339151
"2021-04-04","2021-04-10","ON",,"Completed primary series and 1 booster dose",0.000149682672733804,23
"2021-04-04","2021-04-10","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-04-11","2021-04-17","ON",,"At least one dose",22.5174087456332,3459989
"2021-04-11","2021-04-17","ON",,"Completed primary series",2.34869684963529,360897
"2021-04-11","2021-04-17","ON",,"Completed primary series and 1 booster dose",0.000208254153368771,32
"2021-04-11","2021-04-17","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-04-18","2021-04-24","ON",,"At least one dose",27.6234426494093,4244574
"2021-04-18","2021-04-24","ON",,"Completed primary series",2.51183143908826,385964
"2021-04-18","2021-04-24","ON",,"Completed primary series and 1 booster dose",0.000247301807125416,38
"2021-04-18","2021-04-24","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-04-25","2021-05-01","ON",,"At least one dose",32.0830035975905,4929823
"2021-04-25","2021-05-01","ON",,"Completed primary series",2.67201793068261,410578
"2021-04-25","2021-05-01","ON",,"Completed primary series and 1 booster dose",0.000299365345467609,46
"2021-04-25","2021-05-01","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-05-02","2021-05-08","ON",,"At least one dose",37.3601052724745,5740694
"2021-05-02","2021-05-08","ON",,"Completed primary series",2.83959744472154,436328
"2021-05-02","2021-05-08","ON",,"Completed primary series and 1 booster dose",0.000390476537566446,60
"2021-05-02","2021-05-08","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-05-09","2021-05-15","ON",,"At least one dose",43.195686015213,6637380
"2021-05-09","2021-05-15","ON",,"Completed primary series",3.1407199346082,482598
"2021-05-09","2021-05-15","ON",,"Completed primary series and 1 booster dose",0.000559683037178573,86
"2021-05-09","2021-05-15","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-05-16","2021-05-22","ON",,"At least one dose",49.1331160548333,7549716
"2021-05-16","2021-05-22","ON",,"Completed primary series",3.87348820500539,595194
"2021-05-16","2021-05-22","ON",,"Completed primary series and 1 booster dose",0.000800476902011215,123
"2021-05-16","2021-05-22","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-05-23","2021-05-29","ON",,"At least one dose",54.1900995975488,8326764
"2021-05-23","2021-05-29","ON",,"Completed primary series",4.95007757467213,760621
"2021-05-23","2021-05-29","ON",,"Completed primary series and 1 booster dose",0.00126904874709095,195
"2021-05-23","2021-05-29","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-05-30","2021-06-05","ON",,"At least one dose",58.6156825790194,9006792
"2021-05-30","2021-06-05","ON",,"Completed primary series",7.17151812071452,1101964
"2021-05-30","2021-06-05","ON",,"Completed primary series and 1 booster dose",0.00182222384197675,280
"2021-05-30","2021-06-05","ON",,"Completed primary series and 2+ booster doses",0,0
"2021-06-06","2021-06-12","ON",,"At least one dose",61.6050147600131,9466128
"2021-06-06","2021-06-12","ON",,"Completed primary series",12.1074018732461,1860404
"2021-06-06","2021-06-12","ON",,"Completed primary series and 1 booster dose",0.00225174803329984,346
"2021-06-06","2021-06-12","ON",,"Completed primary series and 2+ booster doses",6.5079422927741e-06,1
"2021-06-13","2021-06-19","ON",,"At least one dose",63.3399866196706,9732721
"2021-06-13","2021-06-19","ON",,"Completed primary series",19.0861156955949,2932742
"2021-06-13","2021-06-19","ON",,"Completed primary series and 1 booster dose",0.00279190724360009,429
"2021-06-13","2021-06-19","ON",,"Completed primary series and 2+ booster doses",1.95238268783223e-05,3
"2021-06-20","2021-06-26","ON",,"At least one dose",64.5652954866119,9921000
"2021-06-20","2021-06-26","ON",,"Completed primary series",27.4804566492948,4222603
"2021-06-20","2021-06-26","ON",,"Completed primary series and 1 booster dose",0.00342968558829195,527
"2021-06-20","2021-06-26","ON",,"Completed primary series and 2+ booster doses",2.60317691710964e-05,4
"2021-06-27","2021-07-03","ON",,"At least one dose",65.5082637851234,10065895
"2021-06-27","2021-07-03","ON",,"Completed primary series",36.5334339027349,5613669
"2021-06-27","2021-07-03","ON",,"Completed primary series and 1 booster dose",0.00443841664367194,682
"2021-06-27","2021-07-03","ON",,"Completed primary series and 2+ booster doses",4.55555960494187e-05,7
"2021-07-04","2021-07-10","ON",,"At least one dose",66.3880855195681,10201087
"2021-07-04","2021-07-10","ON",,"Completed primary series",45.0175974759597,6917332
"2021-07-04","2021-07-10","ON",,"Completed primary series and 1 booster dose",0.00568143362159179,873
"2021-07-04","2021-07-10","ON",,"Completed primary series and 2+ booster doses",4.55555960494187e-05,7
"2021-07-11","2021-07-17","ON",,"At least one dose",67.1981421126343,10325559
"2021-07-11","2021-07-17","ON",,"Completed primary series",51.4511409724428,7905900
"2021-07-11","2021-07-17","ON",,"Completed primary series and 1 booster dose",0.00695699031097552,1069
"2021-07-11","2021-07-17","ON",,"Completed primary series and 2+ booster doses",5.85714806349669e-05,9
"2021-07-18","2021-07-24","ON",,"At least one dose",67.9224630739354,10436857
"2021-07-18","2021-07-24","ON",,"Completed primary series",56.1528234056843,8628353
"2021-07-18","2021-07-24","ON",,"Completed primary series and 1 booster dose",0.00789413400113499,1213
"2021-07-18","2021-07-24","ON",,"Completed primary series and 2+ booster doses",7.80953075132892e-05,12
"2021-07-25","2021-07-31","ON",,"At least one dose",68.5785873079506,10537676
"2021-07-25","2021-07-31","ON",,"Completed primary series",59.1859605462506,9094420
"2021-07-25","2021-07-31","ON",,"Completed primary series and 1 booster dose",0.009449532209108,1452
"2021-07-25","2021-07-31","ON",,"Completed primary series and 2+ booster doses",0.000104127076684386,16
"2021-08-01","2021-08-07","ON",,"At least one dose",69.0411783540633,10608757
"2021-08-01","2021-08-07","ON",,"Completed primary series",61.0688123786269,9383736
"2021-08-01","2021-08-07","ON",,"Completed primary series and 1 booster dose",0.0111025495514726,1706
"2021-08-01","2021-08-07","ON",,"Completed primary series and 2+ booster doses",0.000104127076684386,16
"2021-08-08","2021-08-14","ON",,"At least one dose",69.5073682922639,10680391
"2021-08-08","2021-08-14","ON",,"Completed primary series",62.6706252310319,9629868
"2021-08-08","2021-08-14","ON",,"Completed primary series and 1 booster dose",0.013165567258282,2023
"2021-08-08","2021-08-14","ON",,"Completed primary series and 2+ booster doses",0.000130158845855482,20
"2021-08-15","2021-08-21","ON",,"At least one dose",70.0773794338611,10767978
"2021-08-15","2021-08-21","ON",,"Completed primary series",63.9311160340079,9823553
"2021-08-15","2021-08-21","ON",,"Completed primary series and 1 booster dose",0.0178838254205432,2748
"2021-08-15","2021-08-21","ON",,"Completed primary series and 2+ booster doses",0.000136666788148256,21
"2021-08-22","2021-08-28","ON",,"At least one dose",70.6275803991191,10852521
"2021-08-22","2021-08-28","ON",,"Completed primary series",64.9746255330005,9983897
"2021-08-22","2021-08-28","ON",,"Completed primary series and 1 booster dose",0.0340951096718435,5239
"2021-08-22","2021-08-28","ON",,"Completed primary series and 2+ booster doses",0.000169206499612127,26
"2021-08-29","2021-09-04","ON",,"At least one dose",71.2916247989046,10954557
"2021-08-29","2021-09-04","ON",,"Completed primary series",65.8761317311647,10122421
"2021-08-29","2021-09-04","ON",,"Completed primary series and 1 booster dose",0.0770084811503959,11833
"2021-08-29","2021-09-04","ON",,"Completed primary series and 2+ booster doses",0.000214762095661545,33
"2021-09-05","2021-09-11","ON",,"At least one dose",71.8959978758076,11047424
"2021-09-05","2021-09-11","ON",,"Completed primary series",66.6578917911419,10242545
"2021-09-05","2021-09-11","ON",,"Completed primary series and 1 booster dose",0.150092673098249,23063
"2021-09-05","2021-09-11","ON",,"Completed primary series and 2+ booster doses",0.000279841518589286,43
"2021-09-12","2021-09-18","ON",,"At least one dose",72.4426650284007,11131424
"2021-09-12","2021-09-18","ON",,"Completed primary series",67.4636271105257,10366353
"2021-09-12","2021-09-18","ON",,"Completed primary series and 1 booster dose",0.261111660670683,40122
"2021-09-12","2021-09-18","ON",,"Completed primary series and 2+ booster doses",0.000338412999224253,52
"2021-09-19","2021-09-25","ON",,"At least one dose",73.0352392059269,11222478
"2021-09-19","2021-09-25","ON",,"Completed primary series",68.4709003868321,10521129
"2021-09-19","2021-09-25","ON",,"Completed primary series and 1 booster dose",0.363071592571574,55789
"2021-09-19","2021-09-25","ON",,"Completed primary series and 2+ booster doses",0.000383968595273672,59
"2021-09-26","2021-10-02","ON",,"At least one dose",73.4946934238545,11293077
"2021-09-26","2021-10-02","ON",,"Completed primary series",69.3238052719539,10652185
"2021-09-26","2021-10-02","ON",,"Completed primary series and 1 booster dose",0.448891827586386,68976
"2021-09-26","2021-10-02","ON",,"Completed primary series and 2+ booster doses",0.000468571845079735,72
"2021-10-03","2021-10-09","ON",,"At least one dose",73.8919317134631,11354116
"2021-10-03","2021-10-09","ON",,"Completed primary series",70.0649883117356,10766074
"2021-10-03","2021-10-09","ON",,"Completed primary series and 1 booster dose",0.538389049996616,82728
"2021-10-03","2021-10-09","ON",,"Completed primary series and 2+ booster doses",0.00054015921030025,83
"2021-10-10","2021-10-16","ON",,"At least one dose",74.2065191359535,11402455
"2021-10-10","2021-10-16","ON",,"Completed primary series",70.7044847531928,10864338
"2021-10-10","2021-10-16","ON",,"Completed primary series and 1 booster dose",0.605225617343406,92998
"2021-10-10","2021-10-16","ON",,"Completed primary series and 2+ booster doses",0.000624762460106314,96
"2021-10-17","2021-10-23","ON",,"At least one dose",74.4989209831679,11447385
"2021-10-17","2021-10-23","ON",,"Completed primary series",71.3016665538623,10956100
"2021-10-17","2021-10-23","ON",,"Completed primary series and 1 booster dose",0.706801580649024,108606
"2021-10-17","2021-10-23","ON",,"Completed primary series and 2+ booster doses",0.000715873652205151,110
"2021-10-24","2021-10-30","ON",,"At least one dose",74.7339553190714,11483500
"2021-10-24","2021-10-30","ON",,"Completed primary series",71.8213257459403,11035950
"2021-10-24","2021-10-30","ON",,"Completed primary series and 1 booster dose",0.820098348023928,126015
"2021-10-24","2021-10-30","ON",,"Completed primary series and 2+ booster doses",0.000780953075132892,120
"2021-10-31","2021-11-06","ON",,"At least one dose",74.9279831105882,11513314
"2021-10-31","2021-11-06","ON",,"Completed primary series",72.2200348305071,11097215
"2021-10-31","2021-11-06","ON",,"Completed primary series and 1 booster dose",1.04781775679039,161006
"2021-10-31","2021-11-06","ON",,"Completed primary series and 2+ booster doses",0.000937143690159471,144
"2021-11-07","2021-11-13","ON",,"At least one dose",75.1084613662514,11541046
"2021-11-07","2021-11-13","ON",,"Completed primary series",72.5913910336174,11154277
"2021-11-07","2021-11-13","ON",,"Completed primary series and 1 booster dose",1.62928287682287,250353
"2021-11-07","2021-11-13","ON",,"Completed primary series and 2+ booster doses",0.00114539784352824,176
"2021-11-14","2021-11-20","ON",,"At least one dose",75.2745570694476,11566568
"2021-11-14","2021-11-20","ON",,"Completed primary series",72.9125710016504,11203629
"2021-11-14","2021-11-20","ON",,"Completed primary series and 1 booster dose",2.45480884871898,377202
"2021-11-14","2021-11-20","ON",,"Completed primary series and 2+ booster doses",0.00135365199689701,208
"2021-11-21","2021-11-27","ON",,"At least one dose",75.757348768437,11640753
"2021-11-21","2021-11-27","ON",,"Completed primary series",73.1797155248265,11244678
"2021-11-21","2021-11-27","ON",,"Completed primary series and 1 booster dose",3.64414181066574,559953
"2021-11-21","2021-11-27","ON",,"Completed primary series and 2+ booster doses",0.00154238232338746,237
"2021-11-28","2021-12-04","ON",,"At least one dose",76.9092610622003,11817754
"2021-11-28","2021-12-04","ON",,"Completed primary series",73.3964169872913,11277976
"2021-11-28","2021-12-04","ON",,"Completed primary series and 1 booster dose",5.14088393475397,789940
"2021-11-28","2021-12-04","ON",,"Completed primary series and 2+ booster doses",0.00177666824592733,273
"2021-12-05","2021-12-11","ON",,"At least one dose",77.767476428233,11949626
"2021-12-05","2021-12-11","ON",,"Completed primary series",73.5884598564088,11307485
"2021-12-05","2021-12-11","ON",,"Completed primary series and 1 booster dose",7.07231755634576,1086721
"2021-12-05","2021-12-11","ON",,"Completed primary series and 2+ booster doses",0.00199793828388165,307
"2021-12-12","2021-12-18","ON",,"At least one dose",78.3494231359952,12039047
"2021-12-12","2021-12-18","ON",,"Completed primary series",73.7608227080329,11333970
"2021-12-12","2021-12-18","ON",,"Completed primary series and 1 booster dose",11.9380912465573,1834388
"2021-12-12","2021-12-18","ON",,"Completed primary series and 2+ booster doses",0.00267476428233016,411
"2021-12-19","2021-12-25","ON",,"At least one dose",78.7596382625356,12102080
"2021-12-19","2021-12-25","ON",,"Completed primary series",73.9108047461122,11357016
"2021-12-19","2021-12-25","ON",,"Completed primary series and 1 booster dose",18.7130023480656,2875410
"2021-12-19","2021-12-25","ON",,"Completed primary series and 2+ booster doses",0.00457508343182019,703
"2021-12-26","2022-01-01","ON",,"At least one dose",79.0416794656198,12145418
"2021-12-26","2022-01-01","ON",,"Completed primary series",74.0673923456186,11381077
"2021-12-26","2022-01-01","ON",,"Completed primary series and 1 booster dose",23.9261179343271,3676449
"2021-12-26","2022-01-01","ON",,"Completed primary series and 2+ booster doses",0.00879873797983059,1352
"2022-01-02","2022-01-08","ON",,"At least one dose",79.3799492901136,12197396
"2022-01-02","2022-01-08","ON",,"Completed primary series",74.3456003706924,11423826
"2022-01-02","2022-01-08","ON",,"Completed primary series and 1 booster dose",30.4249100602375,4675043
"2022-01-02","2022-01-08","ON",,"Completed primary series and 2+ booster doses",0.0239166879259448,3675
"2022-01-09","2022-01-15","ON",,"At least one dose",79.7673150312641,12256918
"2022-01-09","2022-01-15","ON",,"Completed primary series",74.7243235644781,11482020
"2022-01-09","2022-01-15","ON",,"Completed primary series and 1 booster dose",35.8887245995012,5514604
"2022-01-09","2022-01-15","ON",,"Completed primary series and 2+ booster doses",0.0799956266627792,12292
"2022-01-16","2022-01-22","ON",,"At least one dose",80.0408047981757,12298942
"2022-01-16","2022-01-22","ON",,"Completed primary series",75.0818178505047,11536952
"2022-01-16","2022-01-22","ON",,"Completed primary series and 1 booster dose",38.9246926949649,5981106
"2022-01-16","2022-01-22","ON",,"Completed primary series and 2+ booster doses",0.170195706840628,26152
"2022-01-23","2022-01-29","ON",,"At least one dose",80.2484472049689,12330848
"2022-01-23","2022-01-29","ON",,"Completed primary series",75.6888982314016,11630235
"2022-01-23","2022-01-29","ON",,"Completed primary series and 1 booster dose",41.1363192640298,6320941
"2022-01-23","2022-01-29","ON",,"Completed primary series and 2+ booster doses",0.26525721991118,40759
"2022-01-30","2022-02-05","ON",,"At least one dose",80.3990670213929,12353992
"2022-01-30","2022-02-05","ON",,"Completed primary series",76.2326368099629,11713785
"2022-01-30","2022-02-05","ON",,"Completed primary series and 1 booster dose",42.5972091340272,6545419
"2022-01-30","2022-02-05","ON",,"Completed primary series and 2+ booster doses",0.334879186559277,51457
"2022-02-06","2022-02-12","ON",,"At least one dose",80.516346649451,12372013
"2022-02-06","2022-02-12","ON",,"Completed primary series",76.6675756092736,11780617
"2022-02-06","2022-02-12","ON",,"Completed primary series and 1 booster dose",43.5684349179739,6694656
"2022-02-06","2022-02-12","ON",,"Completed primary series and 2+ booster doses",0.407904807026495,62678
"2022-02-13","2022-02-19","ON",,"At least one dose",80.5860792511181,12382728
"2022-02-13","2022-02-19","ON",,"Completed primary series",76.9826771592051,11829035
"2022-02-13","2022-02-19","ON",,"Completed primary series and 1 booster dose",44.3038193811728,6807654
"2022-02-13","2022-02-19","ON",,"Completed primary series and 2+ booster doses",0.458842471352038,70505
"2022-02-20","2022-02-26","ON",,"At least one dose",80.6392165999386,12390893
"2022-02-20","2022-02-26","ON",,"Completed primary series",77.1982332238264,11862157
"2022-02-20","2022-02-26","ON",,"Completed primary series and 1 booster dose",44.9598069483998,6908452
"2022-02-20","2022-02-26","ON",,"Completed primary series and 2+ booster doses",0.504163781478917,77469
"2022-02-27","2022-03-05","ON",,"At least one dose",80.6855531490631,12398013
"2022-02-27","2022-03-05","ON",,"Completed primary series",77.3674527393231,11888159
"2022-02-27","2022-03-05","ON",,"Completed primary series and 1 booster dose",45.362837306649,6970381
"2022-02-27","2022-03-05","ON",,"Completed primary series and 2+ booster doses",0.539716670224342,82932
"2022-03-06","2022-03-12","ON",,"At least one dose",80.7254208035487,12404139
"2022-03-06","2022-03-12","ON",,"Completed primary series",77.5112717560511,11910258
"2022-03-06","2022-03-12","ON",,"Completed primary series and 1 booster dose",45.6496618473185,7014454
"2022-03-06","2022-03-12","ON",,"Completed primary series and 2+ booster doses",0.575237019258303,88390
"2022-03-13","2022-03-19","ON",,"At least one dose",80.7653079818611,12410268
"2022-03-13","2022-03-19","ON",,"Completed primary series",77.6637658598554,11933690
"2022-03-13","2022-03-19","ON",,"Completed primary series and 1 booster dose",45.9338376554747,7058120
"2022-03-13","2022-03-19","ON",,"Completed primary series and 2+ booster doses",0.615644832954137,94599
"2022-03-20","2022-03-26","ON",,"At least one dose",80.7983422969392,12415344
"2022-03-20","2022-03-26","ON",,"Completed primary series",77.7684526195769,11949776
"2022-03-20","2022-03-26","ON",,"Completed primary series and 1 booster dose",46.1411221254419,7089971
"2022-03-20","2022-03-26","ON",,"Completed primary series and 2+ booster doses",0.659853284948952,101392
"2022-03-27","2022-04-02","ON",,"At least one dose",80.8296324834828,12420152
"2022-03-27","2022-04-02","ON",,"Completed primary series",77.8502053906588,11962338
"2022-03-27","2022-04-02","ON",,"Completed primary series and 1 booster dose",46.3272037194192,7118564
"2022-03-27","2022-04-02","ON",,"Completed primary series and 2+ booster doses",0.706847136245073,108613
"2022-04-03","2022-04-09","ON",,"At least one dose",80.8633631483863,12425335
"2022-04-03","2022-04-09","ON",,"Completed primary series",77.9216300573219,11973313
"2022-04-03","2022-04-09","ON",,"Completed primary series and 1 booster dose",46.5253705622342,7149014
"2022-04-03","2022-04-09","ON",,"Completed primary series and 2+ booster doses",1.09343843226273,168016
"2022-04-10","2022-04-16","ON",,"At least one dose",80.8968139717712,12430475
"2022-04-10","2022-04-16","ON",,"Completed primary series",77.9834815408725,11982817
"2022-04-10","2022-04-16","ON",,"Completed primary series and 1 booster dose",46.7096299323695,7177327
"2022-04-10","2022-04-16","ON",,"Completed primary series and 2+ booster doses",2.01332305946177,309364
"2022-04-17","2022-04-23","ON",,"At least one dose",80.9355817840092,12436432
"2022-04-17","2022-04-23","ON",,"Completed primary series",78.0424500059873,11991878
"2022-04-17","2022-04-23","ON",,"Completed primary series and 1 booster dose",46.8797996074409,7203475
"2022-04-17","2022-04-23","ON",,"Completed primary series and 2+ booster doses",3.00231552586777,461331
"2022-04-24","2022-04-30","ON",,"At least one dose",80.9734840399223,12442256
"2022-04-24","2022-04-30","ON",,"Completed primary series",78.0990300562807,12000572
"2022-04-24","2022-04-30","ON",,"Completed primary series and 1 booster dose",47.0314932343432,7226784
"2022-04-24","2022-04-30","ON",,"Completed primary series and 2+ booster doses",3.88768202714593,597375
"2022-05-01","2022-05-07","ON",,"At least one dose",81.0090239127832,12447717
"2022-05-01","2022-05-07","ON",,"Completed primary series",78.1465315270757,12007871
"2022-05-01","2022-05-07","ON",,"Completed primary series and 1 booster dose",47.1489290530163,7244829
"2022-05-01","2022-05-07","ON",,"Completed primary series and 2+ booster doses",4.69707481009824,721745
"2022-05-08","2022-05-14","ON",,"At least one dose",81.0418499737079,12452761
"2022-05-08","2022-05-14","ON",,"Completed primary series",78.1902648992831,12014591
"2022-05-08","2022-05-14","ON",,"Completed primary series and 1 booster dose",47.2475113628672,7259977
"2022-05-08","2022-05-14","ON",,"Completed primary series and 2+ booster doses",5.49077694418268,843704
"2022-05-15","2022-05-21","ON",,"At least one dose",81.0711096822562,12457257
"2022-05-15","2022-05-21","ON",,"Completed primary series",78.2334776361071,12021231
"2022-05-15","2022-05-21","ON",,"Completed primary series and 1 booster dose",47.332706835422,7273068
"2022-05-15","2022-05-21","ON",,"Completed primary series and 2+ booster doses",6.18549327599402,950453
"2022-05-22","2022-05-28","ON",,"At least one dose",81.0969006575625,12461220
"2022-05-22","2022-05-28","ON",,"Completed primary series",78.2723235436527,12027200
"2022-05-22","2022-05-28","ON",,"Completed primary series and 1 booster dose",47.4039102320472,7284009
"2022-05-22","2022-05-28","ON",,"Completed primary series and 2+ booster doses",6.68871991378278,1027778
"2022-05-29","2022-06-04","ON",,"At least one dose",81.1233554429826,12465285
"2022-05-29","2022-06-04","ON",,"Completed primary series",78.3140004060956,12033604
"2022-05-29","2022-06-04","ON",,"Completed primary series and 1 booster dose",47.4750615651341,7294942
"2022-05-29","2022-06-04","ON",,"Completed primary series and 2+ booster doses",7.10004139051298,1090981
"2022-06-05","2022-06-11","ON",,"At least one dose",81.1490683229814,12469236
"2022-06-05","2022-06-11","ON",,"Completed primary series",78.3551826649243,12039932
"2022-06-05","2022-06-11","ON",,"Completed primary series and 1 booster dose",47.5416052750777,7305167
"2022-06-05","2022-06-11","ON",,"Completed primary series and 2+ booster doses",7.45458757868102,1145460
"2022-06-12","2022-06-18","ON",,"At least one dose",81.1696204047419,12472394
"2022-06-12","2022-06-18","ON",,"Completed primary series",78.3893168222499,12045177
"2022-06-12","2022-06-18","ON",,"Completed primary series and 1 booster dose",47.6072183492735,7315249
"2022-06-12","2022-06-18","ON",,"Completed primary series and 2+ booster doses",7.77510373660015,1194710
"2022-06-19","2022-06-25","ON",,"At least one dose",81.1866321658953,12475008
"2022-06-19","2022-06-25","ON",,"Completed primary series",78.4208478026584,12050022
"2022-06-19","2022-06-25","ON",,"Completed primary series and 1 booster dose",47.6721741212976,7325230
"2022-06-19","2022-06-25","ON",,"Completed primary series and 2+ booster doses",8.15214788127431,1252646
"2022-06-26","2022-07-02","ON",,"At least one dose",81.2018997985141,12477354
"2022-06-26","2022-07-02","ON",,"Completed primary series",78.4468405241757,12054016
"2022-06-26","2022-07-02","ON",,"Completed primary series and 1 booster dose",47.7256628990019,7333449
"2022-06-26","2022-07-02","ON",,"Completed primary series and 2+ booster doses",8.42731669729738,1294928
"2022-07-03","2022-07-09","ON",,"At least one dose",81.22181410193,12480414
"2022-07-03","2022-07-09","ON",,"Completed primary series",78.4774018211826,12058712
"2022-07-03","2022-07-09","ON",,"Completed primary series and 1 booster dose",47.8011810613673,7345053
"2022-07-03","2022-07-09","ON",,"Completed primary series and 2+ booster doses",8.85127009001786,1360072
"2022-07-10","2022-07-16","ON",,"At least one dose",81.2437458674566,12483784
"2022-07-10","2022-07-16","ON",,"Completed primary series",78.5064793073467,12063180
"2022-07-10","2022-07-16","ON",,"Completed primary series and 1 booster dose",47.8850749454634,7357944
"2022-07-10","2022-07-16","ON",,"Completed primary series and 2+ booster doses",9.56027786310413,1469017
