"date_start","date_end","region","sub_region_1","dose_weekly_type","dose_weekly_value"
"2021-01-31","2021-02-06","ON",,"Dose 2",35776
"2021-01-31","2021-02-06","ON",,"Dose 3",0
"2021-01-31","2021-02-06","ON",,"Dose 4",0
"2021-01-31","2021-02-06","ON",,"Dose 5",0
"2021-01-31","2021-02-06","ON",,"Dose 6",0
"2021-01-31","2021-02-06","ON",,"Dose 7",0
"2021-01-31","2021-02-06","ON",,"Dose 8",0
"2021-02-07","2021-02-13","ON",,"Dose 1",17598
"2021-02-07","2021-02-13","ON",,"Dose 2",78108
"2021-02-07","2021-02-13","ON",,"Dose 3",0
"2021-02-07","2021-02-13","ON",,"Dose 4",0
"2021-02-07","2021-02-13","ON",,"Dose 5",0
"2021-02-07","2021-02-13","ON",,"Dose 6",0
"2021-02-07","2021-02-13","ON",,"Dose 7",0
"2021-02-07","2021-02-13","ON",,"Dose 8",0
"2021-02-14","2021-02-20","ON",,"Dose 1",30496
"2021-02-14","2021-02-20","ON",,"Dose 2",59718
"2021-02-14","2021-02-20","ON",,"Dose 3",0
"2021-02-14","2021-02-20","ON",,"Dose 4",0
"2021-02-14","2021-02-20","ON",,"Dose 5",0
"2021-02-14","2021-02-20","ON",,"Dose 6",0
"2021-02-14","2021-02-20","ON",,"Dose 7",0
"2021-02-14","2021-02-20","ON",,"Dose 8",0
"2021-02-21","2021-02-27","ON",,"Dose 1",110369
"2021-02-21","2021-02-27","ON",,"Dose 2",26300
"2021-02-21","2021-02-27","ON",,"Dose 3",0
"2021-02-21","2021-02-27","ON",,"Dose 4",0
"2021-02-21","2021-02-27","ON",,"Dose 5",0
"2021-02-21","2021-02-27","ON",,"Dose 6",0
"2021-02-21","2021-02-27","ON",,"Dose 7",0
"2021-02-21","2021-02-27","ON",,"Dose 8",0
"2021-02-28","2021-03-06","ON",,"Dose 1",202956
"2021-02-28","2021-03-06","ON",,"Dose 2",10803
"2021-02-28","2021-03-06","ON",,"Dose 3",0
"2021-02-28","2021-03-06","ON",,"Dose 4",0
"2021-02-28","2021-03-06","ON",,"Dose 5",0
"2021-02-28","2021-03-06","ON",,"Dose 6",0
"2021-02-28","2021-03-06","ON",,"Dose 7",0
"2021-02-28","2021-03-06","ON",,"Dose 8",0
"2021-03-07","2021-03-13","ON",,"Dose 1",260781
"2021-03-07","2021-03-13","ON",,"Dose 2",15708
"2021-03-07","2021-03-13","ON",,"Dose 3",1
"2021-03-07","2021-03-13","ON",,"Dose 4",0
"2021-03-07","2021-03-13","ON",,"Dose 5",0
"2021-03-07","2021-03-13","ON",,"Dose 6",0
"2021-03-07","2021-03-13","ON",,"Dose 7",0
"2021-03-07","2021-03-13","ON",,"Dose 8",0
"2021-03-14","2021-03-20","ON",,"Dose 1",353002
"2021-03-14","2021-03-20","ON",,"Dose 2",13527
"2021-03-14","2021-03-20","ON",,"Dose 3",0
"2021-03-14","2021-03-20","ON",,"Dose 4",0
"2021-03-14","2021-03-20","ON",,"Dose 5",0
"2021-03-14","2021-03-20","ON",,"Dose 6",0
"2021-03-14","2021-03-20","ON",,"Dose 7",0
"2021-03-14","2021-03-20","ON",,"Dose 8",0
"2021-03-21","2021-03-27","ON",,"Dose 1",450890
"2021-03-21","2021-03-27","ON",,"Dose 2",14120
"2021-03-21","2021-03-27","ON",,"Dose 3",0
"2021-03-21","2021-03-27","ON",,"Dose 4",0
"2021-03-21","2021-03-27","ON",,"Dose 5",0
"2021-03-21","2021-03-27","ON",,"Dose 6",0
"2021-03-21","2021-03-27","ON",,"Dose 7",0
"2021-03-21","2021-03-27","ON",,"Dose 8",0
"2021-03-28","2021-04-03","ON",,"Dose 1",501237
"2021-03-28","2021-04-03","ON",,"Dose 2",16256
"2021-03-28","2021-04-03","ON",,"Dose 3",0
"2021-03-28","2021-04-03","ON",,"Dose 4",0
"2021-03-28","2021-04-03","ON",,"Dose 5",0
"2021-03-28","2021-04-03","ON",,"Dose 6",0
"2021-03-28","2021-04-03","ON",,"Dose 7",0
"2021-03-28","2021-04-03","ON",,"Dose 8",0
"2021-04-04","2021-04-10","ON",,"Dose 1",639348
"2021-04-04","2021-04-10","ON",,"Dose 2",13900
"2021-04-04","2021-04-10","ON",,"Dose 3",2
"2021-04-04","2021-04-10","ON",,"Dose 4",0
"2021-04-04","2021-04-10","ON",,"Dose 5",0
"2021-04-04","2021-04-10","ON",,"Dose 6",0
"2021-04-04","2021-04-10","ON",,"Dose 7",0
"2021-04-04","2021-04-10","ON",,"Dose 8",0
"2021-04-11","2021-04-17","ON",,"Dose 1",688512
"2021-04-11","2021-04-17","ON",,"Dose 2",15660
"2021-04-11","2021-04-17","ON",,"Dose 3",3
"2021-04-11","2021-04-17","ON",,"Dose 4",0
"2021-04-11","2021-04-17","ON",,"Dose 5",0
"2021-04-11","2021-04-17","ON",,"Dose 6",0
"2021-04-11","2021-04-17","ON",,"Dose 7",0
"2021-04-11","2021-04-17","ON",,"Dose 8",0
"2021-04-18","2021-04-24","ON",,"Dose 1",779109
"2021-04-18","2021-04-24","ON",,"Dose 2",17720
"2021-04-18","2021-04-24","ON",,"Dose 3",1
"2021-04-18","2021-04-24","ON",,"Dose 4",0
"2021-04-18","2021-04-24","ON",,"Dose 5",0
"2021-04-18","2021-04-24","ON",,"Dose 6",0
"2021-04-18","2021-04-24","ON",,"Dose 7",0
"2021-04-18","2021-04-24","ON",,"Dose 8",0
"2021-04-25","2021-05-01","ON",,"Dose 1",679306
"2021-04-25","2021-05-01","ON",,"Dose 2",16663
"2021-04-25","2021-05-01","ON",,"Dose 3",3
"2021-04-25","2021-05-01","ON",,"Dose 4",0
"2021-04-25","2021-05-01","ON",,"Dose 5",0
"2021-04-25","2021-05-01","ON",,"Dose 6",0
"2021-04-25","2021-05-01","ON",,"Dose 7",0
"2021-04-25","2021-05-01","ON",,"Dose 8",0
"2021-05-02","2021-05-08","ON",,"Dose 1",800247
"2021-05-02","2021-05-08","ON",,"Dose 2",17483
"2021-05-02","2021-05-08","ON",,"Dose 3",4
"2021-05-02","2021-05-08","ON",,"Dose 4",0
"2021-05-02","2021-05-08","ON",,"Dose 5",0
"2021-05-02","2021-05-08","ON",,"Dose 6",0
"2021-05-02","2021-05-08","ON",,"Dose 7",0
"2021-05-02","2021-05-08","ON",,"Dose 8",0
"2021-05-09","2021-05-15","ON",,"Dose 1",883886
"2021-05-09","2021-05-15","ON",,"Dose 2",39187
"2021-05-09","2021-05-15","ON",,"Dose 3",7
"2021-05-09","2021-05-15","ON",,"Dose 4",0
"2021-05-09","2021-05-15","ON",,"Dose 5",0
"2021-05-09","2021-05-15","ON",,"Dose 6",0
"2021-05-09","2021-05-15","ON",,"Dose 7",0
"2021-05-09","2021-05-15","ON",,"Dose 8",0
"2021-05-16","2021-05-22","ON",,"Dose 1",896250
"2021-05-16","2021-05-22","ON",,"Dose 2",104999
"2021-05-16","2021-05-22","ON",,"Dose 3",9
"2021-05-16","2021-05-22","ON",,"Dose 4",0
"2021-05-16","2021-05-22","ON",,"Dose 5",0
"2021-05-16","2021-05-22","ON",,"Dose 6",0
"2021-05-16","2021-05-22","ON",,"Dose 7",0
"2021-05-16","2021-05-22","ON",,"Dose 8",0
"2021-05-23","2021-05-29","ON",,"Dose 1",759275
"2021-05-23","2021-05-29","ON",,"Dose 2",157750
"2021-05-23","2021-05-29","ON",,"Dose 3",46
"2021-05-23","2021-05-29","ON",,"Dose 4",0
"2021-05-23","2021-05-29","ON",,"Dose 5",0
"2021-05-23","2021-05-29","ON",,"Dose 6",0
"2021-05-23","2021-05-29","ON",,"Dose 7",0
"2021-05-23","2021-05-29","ON",,"Dose 8",0
"2021-05-30","2021-06-05","ON",,"Dose 1",662056
"2021-05-30","2021-06-05","ON",,"Dose 2",346510
"2021-05-30","2021-06-05","ON",,"Dose 3",29
"2021-05-30","2021-06-05","ON",,"Dose 4",0
"2021-05-30","2021-06-05","ON",,"Dose 5",0
"2021-05-30","2021-06-05","ON",,"Dose 6",0
"2021-05-30","2021-06-05","ON",,"Dose 7",0
"2021-05-30","2021-06-05","ON",,"Dose 8",0
"2021-06-06","2021-06-12","ON",,"Dose 1",445160
"2021-06-06","2021-06-12","ON",,"Dose 2",766690
"2021-06-06","2021-06-12","ON",,"Dose 3",18
"2021-06-06","2021-06-12","ON",,"Dose 4",0
"2021-06-06","2021-06-12","ON",,"Dose 5",0
"2021-06-06","2021-06-12","ON",,"Dose 6",0
"2021-06-06","2021-06-12","ON",,"Dose 7",0
"2021-06-06","2021-06-12","ON",,"Dose 8",0
"2021-06-13","2021-06-19","ON",,"Dose 1",256062
"2021-06-13","2021-06-19","ON",,"Dose 2",1076492
"2021-06-13","2021-06-19","ON",,"Dose 3",25
"2021-06-13","2021-06-19","ON",,"Dose 4",1
"2021-06-13","2021-06-19","ON",,"Dose 5",0
"2021-06-13","2021-06-19","ON",,"Dose 6",0
"2021-06-13","2021-06-19","ON",,"Dose 7",0
"2021-06-13","2021-06-19","ON",,"Dose 8",0
"2021-06-20","2021-06-26","ON",,"Dose 1",178338
"2021-06-20","2021-06-26","ON",,"Dose 2",1290619
"2021-06-20","2021-06-26","ON",,"Dose 3",38
"2021-06-20","2021-06-26","ON",,"Dose 4",0
"2021-06-20","2021-06-26","ON",,"Dose 5",0
"2021-06-20","2021-06-26","ON",,"Dose 6",0
"2021-06-20","2021-06-26","ON",,"Dose 7",0
"2021-06-20","2021-06-26","ON",,"Dose 8",0
"2021-06-27","2021-07-03","ON",,"Dose 1",135964
"2021-06-27","2021-07-03","ON",,"Dose 2",1389453
"2021-06-27","2021-07-03","ON",,"Dose 3",42
"2021-06-27","2021-07-03","ON",,"Dose 4",3
"2021-06-27","2021-07-03","ON",,"Dose 5",0
"2021-06-27","2021-07-03","ON",,"Dose 6",0
"2021-06-27","2021-07-03","ON",,"Dose 7",0
"2021-06-27","2021-07-03","ON",,"Dose 8",0
"2021-07-04","2021-07-10","ON",,"Dose 1",127338
"2021-07-04","2021-07-10","ON",,"Dose 2",1300513
"2021-07-04","2021-07-10","ON",,"Dose 3",57
"2021-07-04","2021-07-10","ON",,"Dose 4",0
"2021-07-04","2021-07-10","ON",,"Dose 5",0
"2021-07-04","2021-07-10","ON",,"Dose 6",0
"2021-07-04","2021-07-10","ON",,"Dose 7",0
"2021-07-04","2021-07-10","ON",,"Dose 8",0
"2021-07-11","2021-07-17","ON",,"Dose 1",117250
"2021-07-11","2021-07-17","ON",,"Dose 2",982322
"2021-07-11","2021-07-17","ON",,"Dose 3",43
"2021-07-11","2021-07-17","ON",,"Dose 4",1
"2021-07-11","2021-07-17","ON",,"Dose 5",0
"2021-07-11","2021-07-17","ON",,"Dose 6",0
"2021-07-11","2021-07-17","ON",,"Dose 7",0
"2021-07-11","2021-07-17","ON",,"Dose 8",0
"2021-07-18","2021-07-24","ON",,"Dose 1",104929
"2021-07-18","2021-07-24","ON",,"Dose 2",714979
"2021-07-18","2021-07-24","ON",,"Dose 3",40
"2021-07-18","2021-07-24","ON",,"Dose 4",0
"2021-07-18","2021-07-24","ON",,"Dose 5",0
"2021-07-18","2021-07-24","ON",,"Dose 6",0
"2021-07-18","2021-07-24","ON",,"Dose 7",0
"2021-07-18","2021-07-24","ON",,"Dose 8",0
"2021-07-25","2021-07-31","ON",,"Dose 1",93787
"2021-07-25","2021-07-31","ON",,"Dose 2",456463
"2021-07-25","2021-07-31","ON",,"Dose 3",62
"2021-07-25","2021-07-31","ON",,"Dose 4",0
"2021-07-25","2021-07-31","ON",,"Dose 5",0
"2021-07-25","2021-07-31","ON",,"Dose 6",0
"2021-07-25","2021-07-31","ON",,"Dose 7",0
"2021-07-25","2021-07-31","ON",,"Dose 8",0
"2021-08-01","2021-08-07","ON",,"Dose 1",64748
"2021-08-01","2021-08-07","ON",,"Dose 2",280114
"2021-08-01","2021-08-07","ON",,"Dose 3",72
"2021-08-01","2021-08-07","ON",,"Dose 4",0
"2021-08-01","2021-08-07","ON",,"Dose 5",0
"2021-08-01","2021-08-07","ON",,"Dose 6",0
"2021-08-01","2021-08-07","ON",,"Dose 7",0
"2021-08-01","2021-08-07","ON",,"Dose 8",0
"2021-08-08","2021-08-14","ON",,"Dose 1",66581
"2021-08-08","2021-08-14","ON",,"Dose 2",238145
"2021-08-08","2021-08-14","ON",,"Dose 3",98
"2021-08-08","2021-08-14","ON",,"Dose 4",1
"2021-08-08","2021-08-14","ON",,"Dose 5",0
"2021-08-08","2021-08-14","ON",,"Dose 6",0
"2021-08-08","2021-08-14","ON",,"Dose 7",0
"2021-08-08","2021-08-14","ON",,"Dose 8",0
"2021-08-15","2021-08-21","ON",,"Dose 1",83604
"2021-08-15","2021-08-21","ON",,"Dose 2",186356
"2021-08-15","2021-08-21","ON",,"Dose 3",506
"2021-08-15","2021-08-21","ON",,"Dose 4",1
"2021-08-15","2021-08-21","ON",,"Dose 5",0
"2021-08-15","2021-08-21","ON",,"Dose 6",0
"2021-08-15","2021-08-21","ON",,"Dose 7",0
"2021-08-15","2021-08-21","ON",,"Dose 8",0
"2021-08-22","2021-08-28","ON",,"Dose 1",81049
"2021-08-22","2021-08-28","ON",,"Dose 2",153145
"2021-08-22","2021-08-28","ON",,"Dose 3",2943
"2021-08-22","2021-08-28","ON",,"Dose 4",1
"2021-08-22","2021-08-28","ON",,"Dose 5",0
"2021-08-22","2021-08-28","ON",,"Dose 6",0
"2021-08-22","2021-08-28","ON",,"Dose 7",0
"2021-08-22","2021-08-28","ON",,"Dose 8",0
"2021-08-29","2021-09-04","ON",,"Dose 1",99133
"2021-08-29","2021-09-04","ON",,"Dose 2",132469
"2021-08-29","2021-09-04","ON",,"Dose 3",9469
"2021-08-29","2021-09-04","ON",,"Dose 4",2
"2021-08-29","2021-09-04","ON",,"Dose 5",0
"2021-08-29","2021-09-04","ON",,"Dose 6",0
"2021-08-29","2021-09-04","ON",,"Dose 7",0
"2021-08-29","2021-09-04","ON",,"Dose 8",0
"2021-09-05","2021-09-11","ON",,"Dose 1",89939
"2021-09-05","2021-09-11","ON",,"Dose 2",114667
"2021-09-05","2021-09-11","ON",,"Dose 3",16927
"2021-09-05","2021-09-11","ON",,"Dose 4",12
"2021-09-05","2021-09-11","ON",,"Dose 5",0
"2021-09-05","2021-09-11","ON",,"Dose 6",0
"2021-09-05","2021-09-11","ON",,"Dose 7",0
"2021-09-05","2021-09-11","ON",,"Dose 8",0
"2021-09-12","2021-09-18","ON",,"Dose 1",81528
"2021-09-12","2021-09-18","ON",,"Dose 2",119327
"2021-09-12","2021-09-18","ON",,"Dose 3",26222
"2021-09-12","2021-09-18","ON",,"Dose 4",9
"2021-09-12","2021-09-18","ON",,"Dose 5",0
"2021-09-12","2021-09-18","ON",,"Dose 6",0
"2021-09-12","2021-09-18","ON",,"Dose 7",0
"2021-09-12","2021-09-18","ON",,"Dose 8",0
"2021-09-19","2021-09-25","ON",,"Dose 1",89218
"2021-09-19","2021-09-25","ON",,"Dose 2",150724
"2021-09-19","2021-09-25","ON",,"Dose 3",21920
"2021-09-19","2021-09-25","ON",,"Dose 4",6
"2021-09-19","2021-09-25","ON",,"Dose 5",0
"2021-09-19","2021-09-25","ON",,"Dose 6",0
"2021-09-19","2021-09-25","ON",,"Dose 7",0
"2021-09-19","2021-09-25","ON",,"Dose 8",0
"2021-09-26","2021-10-02","ON",,"Dose 1",68890
"2021-09-26","2021-10-02","ON",,"Dose 2",127254
"2021-09-26","2021-10-02","ON",,"Dose 3",17357
"2021-09-26","2021-10-02","ON",,"Dose 4",7
"2021-09-26","2021-10-02","ON",,"Dose 5",0
"2021-09-26","2021-10-02","ON",,"Dose 6",0
"2021-09-26","2021-10-02","ON",,"Dose 7",0
"2021-09-26","2021-10-02","ON",,"Dose 8",0
"2021-10-03","2021-10-09","ON",,"Dose 1",59491
"2021-10-03","2021-10-09","ON",,"Dose 2",110215
"2021-10-03","2021-10-09","ON",,"Dose 3",17525
"2021-10-03","2021-10-09","ON",,"Dose 4",8
"2021-10-03","2021-10-09","ON",,"Dose 5",0
"2021-10-03","2021-10-09","ON",,"Dose 6",0
"2021-10-03","2021-10-09","ON",,"Dose 7",0
"2021-10-03","2021-10-09","ON",,"Dose 8",0
"2021-10-10","2021-10-16","ON",,"Dose 1",46560
"2021-10-10","2021-10-16","ON",,"Dose 2",95089
"2021-10-10","2021-10-16","ON",,"Dose 3",11211
"2021-10-10","2021-10-16","ON",,"Dose 4",6
"2021-10-10","2021-10-16","ON",,"Dose 5",0
"2021-10-10","2021-10-16","ON",,"Dose 6",0
"2021-10-10","2021-10-16","ON",,"Dose 7",0
"2021-10-10","2021-10-16","ON",,"Dose 8",0
"2021-10-17","2021-10-23","ON",,"Dose 1",43244
"2021-10-17","2021-10-23","ON",,"Dose 2",88802
"2021-10-17","2021-10-23","ON",,"Dose 3",17761
"2021-10-17","2021-10-23","ON",,"Dose 4",5
"2021-10-17","2021-10-23","ON",,"Dose 5",0
"2021-10-17","2021-10-23","ON",,"Dose 6",0
"2021-10-17","2021-10-23","ON",,"Dose 7",0
"2021-10-17","2021-10-23","ON",,"Dose 8",0
"2021-10-24","2021-10-30","ON",,"Dose 1",34335
"2021-10-24","2021-10-30","ON",,"Dose 2",76899
"2021-10-24","2021-10-30","ON",,"Dose 3",19566
"2021-10-24","2021-10-30","ON",,"Dose 4",7
"2021-10-24","2021-10-30","ON",,"Dose 5",0
"2021-10-24","2021-10-30","ON",,"Dose 6",0
"2021-10-24","2021-10-30","ON",,"Dose 7",0
"2021-10-24","2021-10-30","ON",,"Dose 8",0
"2021-10-31","2021-11-06","ON",,"Dose 1",27964
"2021-10-31","2021-11-06","ON",,"Dose 2",59171
"2021-10-31","2021-11-06","ON",,"Dose 3",36337
"2021-10-31","2021-11-06","ON",,"Dose 4",13
"2021-10-31","2021-11-06","ON",,"Dose 5",0
"2021-10-31","2021-11-06","ON",,"Dose 6",0
"2021-10-31","2021-11-06","ON",,"Dose 7",0
"2021-10-31","2021-11-06","ON",,"Dose 8",0
"2021-11-07","2021-11-13","ON",,"Dose 1",26298
"2021-11-07","2021-11-13","ON",,"Dose 2",55053
"2021-11-07","2021-11-13","ON",,"Dose 3",89498
"2021-11-07","2021-11-13","ON",,"Dose 4",18
"2021-11-07","2021-11-13","ON",,"Dose 5",1
"2021-11-07","2021-11-13","ON",,"Dose 6",0
"2021-11-07","2021-11-13","ON",,"Dose 7",0
"2021-11-07","2021-11-13","ON",,"Dose 8",0
"2021-11-14","2021-11-20","ON",,"Dose 1",24389
"2021-11-14","2021-11-20","ON",,"Dose 2",47451
"2021-11-14","2021-11-20","ON",,"Dose 3",127545
"2021-11-14","2021-11-20","ON",,"Dose 4",22
"2021-11-14","2021-11-20","ON",,"Dose 5",2
"2021-11-14","2021-11-20","ON",,"Dose 6",0
"2021-11-14","2021-11-20","ON",,"Dose 7",0
"2021-11-14","2021-11-20","ON",,"Dose 8",0
"2021-11-21","2021-11-27","ON",,"Dose 1",73125
"2021-11-21","2021-11-27","ON",,"Dose 2",39109
"2021-11-21","2021-11-27","ON",,"Dose 3",185324
"2021-11-21","2021-11-27","ON",,"Dose 4",18
"2021-11-21","2021-11-27","ON",,"Dose 5",0
"2021-11-21","2021-11-27","ON",,"Dose 6",0
"2021-11-21","2021-11-27","ON",,"Dose 7",0
"2021-11-21","2021-11-27","ON",,"Dose 8",0
"2021-11-28","2021-12-04","ON",,"Dose 1",175930
"2021-11-28","2021-12-04","ON",,"Dose 2",31479
"2021-11-28","2021-12-04","ON",,"Dose 3",232615
"2021-11-28","2021-12-04","ON",,"Dose 4",35
"2021-11-28","2021-12-04","ON",,"Dose 5",0
"2021-11-28","2021-12-04","ON",,"Dose 6",0
"2021-11-28","2021-12-04","ON",,"Dose 7",0
"2021-11-28","2021-12-04","ON",,"Dose 8",0
"2021-12-05","2021-12-11","ON",,"Dose 1",131062
"2021-12-05","2021-12-11","ON",,"Dose 2",28031
"2021-12-05","2021-12-11","ON",,"Dose 3",299957
"2021-12-05","2021-12-11","ON",,"Dose 4",21
"2021-12-05","2021-12-11","ON",,"Dose 5",0
"2021-12-05","2021-12-11","ON",,"Dose 6",0
"2021-12-05","2021-12-11","ON",,"Dose 7",0
"2021-12-05","2021-12-11","ON",,"Dose 8",0
"2021-12-12","2021-12-18","ON",,"Dose 1",88698
"2021-12-12","2021-12-18","ON",,"Dose 2",24972
"2021-12-12","2021-12-18","ON",,"Dose 3",752464
"2021-12-12","2021-12-18","ON",,"Dose 4",70
"2021-12-12","2021-12-18","ON",,"Dose 5",1
"2021-12-12","2021-12-18","ON",,"Dose 6",0
"2021-12-12","2021-12-18","ON",,"Dose 7",0
"2021-12-12","2021-12-18","ON",,"Dose 8",0
"2021-12-19","2021-12-25","ON",,"Dose 1",62307
"2021-12-19","2021-12-25","ON",,"Dose 2",21100
"2021-12-19","2021-12-25","ON",,"Dose 3",1043031
"2021-12-19","2021-12-25","ON",,"Dose 4",245
"2021-12-19","2021-12-25","ON",,"Dose 5",1
"2021-12-19","2021-12-25","ON",,"Dose 6",1
"2021-12-19","2021-12-25","ON",,"Dose 7",0
"2021-12-19","2021-12-25","ON",,"Dose 8",0
"2021-12-26","2022-01-01","ON",,"Dose 1",42885
"2021-12-26","2022-01-01","ON",,"Dose 2",23053
"2021-12-26","2022-01-01","ON",,"Dose 3",802062
"2021-12-26","2022-01-01","ON",,"Dose 4",821
"2021-12-26","2022-01-01","ON",,"Dose 5",1
"2021-12-26","2022-01-01","ON",,"Dose 6",0
"2021-12-26","2022-01-01","ON",,"Dose 7",0
"2021-12-26","2022-01-01","ON",,"Dose 8",0
"2022-01-02","2022-01-08","ON",,"Dose 1",51235
"2022-01-02","2022-01-08","ON",,"Dose 2",41548
"2022-01-02","2022-01-08","ON",,"Dose 3",1003022
"2022-01-02","2022-01-08","ON",,"Dose 4",3367
"2022-01-02","2022-01-08","ON",,"Dose 5",1
"2022-01-02","2022-01-08","ON",,"Dose 6",0
"2022-01-02","2022-01-08","ON",,"Dose 7",0
"2022-01-02","2022-01-08","ON",,"Dose 8",0
"2022-01-09","2022-01-15","ON",,"Dose 1",59074
"2022-01-09","2022-01-15","ON",,"Dose 2",57355
"2022-01-09","2022-01-15","ON",,"Dose 3",844773
"2022-01-09","2022-01-15","ON",,"Dose 4",12499
"2022-01-09","2022-01-15","ON",,"Dose 5",5
"2022-01-09","2022-01-15","ON",,"Dose 6",0
"2022-01-09","2022-01-15","ON",,"Dose 7",0
"2022-01-09","2022-01-15","ON",,"Dose 8",0
"2022-01-16","2022-01-22","ON",,"Dose 1",41596
"2022-01-16","2022-01-22","ON",,"Dose 2",54265
"2022-01-16","2022-01-22","ON",,"Dose 3",468717
"2022-01-16","2022-01-22","ON",,"Dose 4",18966
"2022-01-16","2022-01-22","ON",,"Dose 5",1
"2022-01-16","2022-01-22","ON",,"Dose 6",0
"2022-01-16","2022-01-22","ON",,"Dose 7",0
"2022-01-16","2022-01-22","ON",,"Dose 8",0
"2022-01-23","2022-01-29","ON",,"Dose 1",31601
"2022-01-23","2022-01-29","ON",,"Dose 2",92746
"2022-01-23","2022-01-29","ON",,"Dose 3",341259
"2022-01-23","2022-01-29","ON",,"Dose 4",20153
"2022-01-23","2022-01-29","ON",,"Dose 5",5
"2022-01-23","2022-01-29","ON",,"Dose 6",0
"2022-01-23","2022-01-29","ON",,"Dose 7",0
"2022-01-23","2022-01-29","ON",,"Dose 8",0
"2022-01-30","2022-02-05","ON",,"Dose 1",22910
"2022-01-30","2022-02-05","ON",,"Dose 2",83129
"2022-01-30","2022-02-05","ON",,"Dose 3",225412
"2022-01-30","2022-02-05","ON",,"Dose 4",14081
"2022-01-30","2022-02-05","ON",,"Dose 5",0
"2022-01-30","2022-02-05","ON",,"Dose 6",0
"2022-01-30","2022-02-05","ON",,"Dose 7",0
"2022-01-30","2022-02-05","ON",,"Dose 8",0
"2022-02-06","2022-02-12","ON",,"Dose 1",17766
"2022-02-06","2022-02-12","ON",,"Dose 2",66444
"2022-02-06","2022-02-12","ON",,"Dose 3",150005
"2022-02-06","2022-02-12","ON",,"Dose 4",14534
"2022-02-06","2022-02-12","ON",,"Dose 5",4
"2022-02-06","2022-02-12","ON",,"Dose 6",0
"2022-02-06","2022-02-12","ON",,"Dose 7",0
"2022-02-06","2022-02-12","ON",,"Dose 8",0
"2022-02-13","2022-02-19","ON",,"Dose 1",10472
"2022-02-13","2022-02-19","ON",,"Dose 2",48031
"2022-02-13","2022-02-19","ON",,"Dose 3",113290
