"date_start","date_end","region","sub_region_1","outcome_weekly_type","outcome_weekly_value"
"2020-06-07","2020-06-13","ON",,"COVID-19 hospital bed occupancy",512
"2020-06-07","2020-06-13","ON",,"COVID-19 ICU bed occupancy",140
"2020-06-14","2020-06-20","ON",,"COVID-19 hospitalizations",70
"2020-06-14","2020-06-20","ON",,"COVID-19 deaths",38
"2020-06-14","2020-06-20","ON",,"COVID-19 hospital bed occupancy",340
"2020-06-14","2020-06-20","ON",,"COVID-19 ICU bed occupancy",116
"2020-06-21","2020-06-27","ON",,"COVID-19 hospitalizations",55
"2020-06-21","2020-06-27","ON",,"COVID-19 deaths",35
"2020-06-21","2020-06-27","ON",,"COVID-19 hospital bed occupancy",258
"2020-06-21","2020-06-27","ON",,"COVID-19 ICU bed occupancy",97
"2020-06-28","2020-07-04","ON",,"COVID-19 hospitalizations",47
"2020-06-28","2020-07-04","ON",,"COVID-19 deaths",18
"2020-06-28","2020-07-04","ON",,"COVID-19 hospital bed occupancy",165
"2020-06-28","2020-07-04","ON",,"COVID-19 ICU bed occupancy",62
"2020-07-05","2020-07-11","ON",,"COVID-19 hospitalizations",46
"2020-07-05","2020-07-11","ON",,"COVID-19 deaths",26
"2020-07-05","2020-07-11","ON",,"COVID-19 hospital bed occupancy",125
"2020-07-05","2020-07-11","ON",,"COVID-19 ICU bed occupancy",59
"2020-07-12","2020-07-18","ON",,"COVID-19 hospitalizations",47
"2020-07-12","2020-07-18","ON",,"COVID-19 deaths",20
"2020-07-12","2020-07-18","ON",,"COVID-19 hospital bed occupancy",113
"2020-07-12","2020-07-18","ON",,"COVID-19 ICU bed occupancy",53
"2020-07-19","2020-07-25","ON",,"COVID-19 hospitalizations",40
"2020-07-19","2020-07-25","ON",,"COVID-19 deaths",9
"2020-07-19","2020-07-25","ON",,"COVID-19 hospital bed occupancy",117
"2020-07-19","2020-07-25","ON",,"COVID-19 ICU bed occupancy",52
"2020-07-26","2020-08-01","ON",,"COVID-19 hospitalizations",49
"2020-07-26","2020-08-01","ON",,"COVID-19 deaths",12
"2020-07-26","2020-08-01","ON",,"COVID-19 hospital bed occupancy",83
"2020-07-26","2020-08-01","ON",,"COVID-19 ICU bed occupancy",42
"2020-08-02","2020-08-08","ON",,"COVID-19 hospitalizations",32
"2020-08-02","2020-08-08","ON",,"COVID-19 deaths",6
"2020-08-02","2020-08-08","ON",,"COVID-19 hospital bed occupancy",63
"2020-08-02","2020-08-08","ON",,"COVID-19 ICU bed occupancy",39
"2020-08-09","2020-08-15","ON",,"COVID-19 hospitalizations",20
"2020-08-09","2020-08-15","ON",,"COVID-19 deaths",4
"2020-08-09","2020-08-15","ON",,"COVID-19 hospital bed occupancy",43
"2020-08-09","2020-08-15","ON",,"COVID-19 ICU bed occupancy",32
"2020-08-16","2020-08-22","ON",,"COVID-19 hospitalizations",39
"2020-08-16","2020-08-22","ON",,"COVID-19 deaths",8
"2020-08-16","2020-08-22","ON",,"COVID-19 hospital bed occupancy",39
"2020-08-16","2020-08-22","ON",,"COVID-19 ICU bed occupancy",26
"2020-08-23","2020-08-29","ON",,"COVID-19 hospitalizations",48
"2020-08-23","2020-08-29","ON",,"COVID-19 deaths",2
"2020-08-23","2020-08-29","ON",,"COVID-19 hospital bed occupancy",50
"2020-08-23","2020-08-29","ON",,"COVID-19 ICU bed occupancy",26
"2020-08-30","2020-09-05","ON",,"COVID-19 hospitalizations",41
"2020-08-30","2020-09-05","ON",,"COVID-19 deaths",5
"2020-08-30","2020-09-05","ON",,"COVID-19 hospital bed occupancy",59
"2020-08-30","2020-09-05","ON",,"COVID-19 ICU bed occupancy",24
"2020-09-06","2020-09-12","ON",,"COVID-19 hospitalizations",47
"2020-09-06","2020-09-12","ON",,"COVID-19 deaths",7
"2020-09-06","2020-09-12","ON",,"COVID-19 hospital bed occupancy",49
"2020-09-06","2020-09-12","ON",,"COVID-19 ICU bed occupancy",23
"2020-09-13","2020-09-19","ON",,"COVID-19 hospitalizations",71
"2020-09-13","2020-09-19","ON",,"COVID-19 deaths",16
"2020-09-13","2020-09-19","ON",,"COVID-19 hospital bed occupancy",57
"2020-09-13","2020-09-19","ON",,"COVID-19 ICU bed occupancy",28
"2020-09-20","2020-09-26","ON",,"COVID-19 hospitalizations",129
"2020-09-20","2020-09-26","ON",,"COVID-19 deaths",15
"2020-09-20","2020-09-26","ON",,"COVID-19 hospital bed occupancy",98
"2020-09-20","2020-09-26","ON",,"COVID-19 ICU bed occupancy",32
"2020-09-27","2020-10-03","ON",,"COVID-19 hospitalizations",156
"2020-09-27","2020-10-03","ON",,"COVID-19 deaths",25
"2020-09-27","2020-10-03","ON",,"COVID-19 hospital bed occupancy",159
"2020-09-27","2020-10-03","ON",,"COVID-19 ICU bed occupancy",41
"2020-10-04","2020-10-10","ON",,"COVID-19 hospitalizations",196
"2020-10-04","2020-10-10","ON",,"COVID-19 deaths",35
"2020-10-04","2020-10-10","ON",,"COVID-19 hospital bed occupancy",208
"2020-10-04","2020-10-10","ON",,"COVID-19 ICU bed occupancy",51
"2020-10-11","2020-10-17","ON",,"COVID-19 hospitalizations",207
"2020-10-11","2020-10-17","ON",,"COVID-19 deaths",40
"2020-10-11","2020-10-17","ON",,"COVID-19 hospital bed occupancy",252
"2020-10-11","2020-10-17","ON",,"COVID-19 ICU bed occupancy",69
"2020-10-18","2020-10-24","ON",,"COVID-19 hospitalizations",218
"2020-10-18","2020-10-24","ON",,"COVID-19 deaths",59
"2020-10-18","2020-10-24","ON",,"COVID-19 hospital bed occupancy",282
"2020-10-18","2020-10-24","ON",,"COVID-19 ICU bed occupancy",82
"2020-10-25","2020-10-31","ON",,"COVID-19 hospitalizations",253
"2020-10-25","2020-10-31","ON",,"COVID-19 deaths",67
"2020-10-25","2020-10-31","ON",,"COVID-19 hospital bed occupancy",323
"2020-10-25","2020-10-31","ON",,"COVID-19 ICU bed occupancy",83
"2020-11-01","2020-11-07","ON",,"COVID-19 hospitalizations",293
"2020-11-01","2020-11-07","ON",,"COVID-19 deaths",104
"2020-11-01","2020-11-07","ON",,"COVID-19 hospital bed occupancy",378
"2020-11-01","2020-11-07","ON",,"COVID-19 ICU bed occupancy",93
"2020-11-08","2020-11-14","ON",,"COVID-19 hospitalizations",405
"2020-11-08","2020-11-14","ON",,"COVID-19 deaths",137
"2020-11-08","2020-11-14","ON",,"COVID-19 hospital bed occupancy",461
"2020-11-08","2020-11-14","ON",,"COVID-19 ICU bed occupancy",107
"2020-11-15","2020-11-21","ON",,"COVID-19 hospitalizations",399
"2020-11-15","2020-11-21","ON",,"COVID-19 deaths",120
"2020-11-15","2020-11-21","ON",,"COVID-19 hospital bed occupancy",519
"2020-11-15","2020-11-21","ON",,"COVID-19 ICU bed occupancy",146
"2020-11-22","2020-11-28","ON",,"COVID-19 hospitalizations",464
"2020-11-22","2020-11-28","ON",,"COVID-19 deaths",139
"2020-11-22","2020-11-28","ON",,"COVID-19 hospital bed occupancy",575
"2020-11-22","2020-11-28","ON",,"COVID-19 ICU bed occupancy",163
"2020-11-29","2020-12-05","ON",,"COVID-19 hospitalizations",514
"2020-11-29","2020-12-05","ON",,"COVID-19 deaths",155
"2020-11-29","2020-12-05","ON",,"COVID-19 hospital bed occupancy",695
"2020-11-29","2020-12-05","ON",,"COVID-19 ICU bed occupancy",203
"2020-12-06","2020-12-12","ON",,"COVID-19 hospitalizations",572
"2020-12-06","2020-12-12","ON",,"COVID-19 deaths",198
"2020-12-06","2020-12-12","ON",,"COVID-19 hospital bed occupancy",836
"2020-12-06","2020-12-12","ON",,"COVID-19 ICU bed occupancy",244
"2020-12-13","2020-12-19","ON",,"COVID-19 hospitalizations",625
"2020-12-13","2020-12-19","ON",,"COVID-19 deaths",237
"2020-12-13","2020-12-19","ON",,"COVID-19 hospital bed occupancy",916
"2020-12-13","2020-12-19","ON",,"COVID-19 ICU bed occupancy",274
"2020-12-20","2020-12-26","ON",,"COVID-19 hospitalizations",733
"2020-12-20","2020-12-26","ON",,"COVID-19 deaths",285
"2020-12-20","2020-12-26","ON",,"COVID-19 hospital bed occupancy",1017
"2020-12-20","2020-12-26","ON",,"COVID-19 ICU bed occupancy",295
"2020-12-27","2021-01-02","ON",,"COVID-19 hospitalizations",818
"2020-12-27","2021-01-02","ON",,"COVID-19 deaths",327
"2020-12-27","2021-01-02","ON",,"COVID-19 hospital bed occupancy",1278
"2020-12-27","2021-01-02","ON",,"COVID-19 ICU bed occupancy",341
"2021-01-03","2021-01-09","ON",,"COVID-19 hospitalizations",940
"2021-01-03","2021-01-09","ON",,"COVID-19 deaths",371
"2021-01-03","2021-01-09","ON",,"COVID-19 hospital bed occupancy",1508
"2021-01-03","2021-01-09","ON",,"COVID-19 ICU bed occupancy",387
"2021-01-10","2021-01-16","ON",,"COVID-19 hospitalizations",806
"2021-01-10","2021-01-16","ON",,"COVID-19 deaths",368
"2021-01-10","2021-01-16","ON",,"COVID-19 hospital bed occupancy",1660
"2021-01-10","2021-01-16","ON",,"COVID-19 ICU bed occupancy",413
"2021-01-17","2021-01-23","ON",,"COVID-19 hospitalizations",757
"2021-01-17","2021-01-23","ON",,"COVID-19 deaths",432
"2021-01-17","2021-01-23","ON",,"COVID-19 hospital bed occupancy",1527
"2021-01-17","2021-01-23","ON",,"COVID-19 ICU bed occupancy",414
"2021-01-24","2021-01-30","ON",,"COVID-19 hospitalizations",565
"2021-01-24","2021-01-30","ON",,"COVID-19 deaths",373
"2021-01-24","2021-01-30","ON",,"COVID-19 hospital bed occupancy",1306
"2021-01-24","2021-01-30","ON",,"COVID-19 ICU bed occupancy",396
"2021-01-31","2021-02-06","ON",,"COVID-19 hospitalizations",518
"2021-01-31","2021-02-06","ON",,"COVID-19 deaths",262
"2021-01-31","2021-02-06","ON",,"COVID-19 hospital bed occupancy",1050
"2021-01-31","2021-02-06","ON",,"COVID-19 ICU bed occupancy",367
"2021-02-07","2021-02-13","ON",,"COVID-19 hospitalizations",434
"2021-02-07","2021-02-13","ON",,"COVID-19 deaths",170
"2021-02-07","2021-02-13","ON",,"COVID-19 hospital bed occupancy",852
"2021-02-07","2021-02-13","ON",,"COVID-19 ICU bed occupancy",339
"2021-02-14","2021-02-20","ON",,"COVID-19 hospitalizations",383
"2021-02-14","2021-02-20","ON",,"COVID-19 deaths",151
"2021-02-14","2021-02-20","ON",,"COVID-19 hospital bed occupancy",727
"2021-02-14","2021-02-20","ON",,"COVID-19 ICU bed occupancy",317
"2021-02-21","2021-02-27","ON",,"COVID-19 hospitalizations",391
"2021-02-21","2021-02-27","ON",,"COVID-19 deaths",97
"2021-02-21","2021-02-27","ON",,"COVID-19 hospital bed occupancy",691
"2021-02-21","2021-02-27","ON",,"COVID-19 ICU bed occupancy",314
"2021-02-28","2021-03-06","ON",,"COVID-19 hospitalizations",386
"2021-02-28","2021-03-06","ON",,"COVID-19 deaths",87
"2021-02-28","2021-03-06","ON",,"COVID-19 hospital bed occupancy",650
"2021-02-28","2021-03-06","ON",,"COVID-19 ICU bed occupancy",309
"2021-03-07","2021-03-13","ON",,"COVID-19 hospitalizations",459
"2021-03-07","2021-03-13","ON",,"COVID-19 deaths",88
"2021-03-07","2021-03-13","ON",,"COVID-19 hospital bed occupancy",694
"2021-03-07","2021-03-13","ON",,"COVID-19 ICU bed occupancy",314
"2021-03-14","2021-03-20","ON",,"COVID-19 hospitalizations",553
"2021-03-14","2021-03-20","ON",,"COVID-19 deaths",82
"2021-03-14","2021-03-20","ON",,"COVID-19 hospital bed occupancy",778
"2021-03-14","2021-03-20","ON",,"COVID-19 ICU bed occupancy",336
"2021-03-21","2021-03-27","ON",,"COVID-19 hospitalizations",669
"2021-03-21","2021-03-27","ON",,"COVID-19 deaths",108
"2021-03-21","2021-03-27","ON",,"COVID-19 hospital bed occupancy",939
"2021-03-21","2021-03-27","ON",,"COVID-19 ICU bed occupancy",369
"2021-03-28","2021-04-03","ON",,"COVID-19 hospitalizations",898
"2021-03-28","2021-04-03","ON",,"COVID-19 deaths",113
"2021-03-28","2021-04-03","ON",,"COVID-19 hospital bed occupancy",1176
"2021-03-28","2021-04-03","ON",,"COVID-19 ICU bed occupancy",434
"2021-04-04","2021-04-10","ON",,"COVID-19 hospitalizations",1229
"2021-04-04","2021-04-10","ON",,"COVID-19 deaths",162
"2021-04-04","2021-04-10","ON",,"COVID-19 hospital bed occupancy",1527
"2021-04-04","2021-04-10","ON",,"COVID-19 ICU bed occupancy",539
"2021-04-11","2021-04-17","ON",,"COVID-19 hospitalizations",1511
"2021-04-11","2021-04-17","ON",,"COVID-19 deaths",199
"2021-04-11","2021-04-17","ON",,"COVID-19 hospital bed occupancy",2017
"2021-04-11","2021-04-17","ON",,"COVID-19 ICU bed occupancy",673
"2021-04-18","2021-04-24","ON",,"COVID-19 hospitalizations",1380
"2021-04-18","2021-04-24","ON",,"COVID-19 deaths",229
"2021-04-18","2021-04-24","ON",,"COVID-19 hospital bed occupancy",2328
"2021-04-18","2021-04-24","ON",,"COVID-19 ICU bed occupancy",804
"2021-04-25","2021-05-01","ON",,"COVID-19 hospitalizations",1197
"2021-04-25","2021-05-01","ON",,"COVID-19 deaths",228
"2021-04-25","2021-05-01","ON",,"COVID-19 hospital bed occupancy",2223
"2021-04-25","2021-05-01","ON",,"COVID-19 ICU bed occupancy",884
"2021-05-02","2021-05-08","ON",,"COVID-19 hospitalizations",998
"2021-05-02","2021-05-08","ON",,"COVID-19 deaths",209
"2021-05-02","2021-05-08","ON",,"COVID-19 hospital bed occupancy",1936
"2021-05-02","2021-05-08","ON",,"COVID-19 ICU bed occupancy",870
"2021-05-09","2021-05-15","ON",,"COVID-19 hospitalizations",739
"2021-05-09","2021-05-15","ON",,"COVID-19 deaths",163
"2021-05-09","2021-05-15","ON",,"COVID-19 hospital bed occupancy",1592
"2021-05-09","2021-05-15","ON",,"COVID-19 ICU bed occupancy",790
"2021-05-16","2021-05-22","ON",,"COVID-19 hospitalizations",625
"2021-05-16","2021-05-22","ON",,"COVID-19 deaths",152
"2021-05-16","2021-05-22","ON",,"COVID-19 hospital bed occupancy",1299
"2021-05-16","2021-05-22","ON",,"COVID-19 ICU bed occupancy",730
"2021-05-23","2021-05-29","ON",,"COVID-19 hospitalizations",408
"2021-05-23","2021-05-29","ON",,"COVID-19 deaths",136
"2021-05-23","2021-05-29","ON",,"COVID-19 hospital bed occupancy",1011
"2021-05-23","2021-05-29","ON",,"COVID-19 ICU bed occupancy",655
"2021-05-30","2021-06-05","ON",,"COVID-19 hospitalizations",320
"2021-05-30","2021-06-05","ON",,"COVID-19 deaths",94
"2021-05-30","2021-06-05","ON",,"COVID-19 hospital bed occupancy",709
"2021-05-30","2021-06-05","ON",,"COVID-19 ICU bed occupancy",553
"2021-06-06","2021-06-12","ON",,"COVID-19 hospitalizations",255
"2021-06-06","2021-06-12","ON",,"COVID-19 deaths",46
"2021-06-06","2021-06-12","ON",,"COVID-19 hospital bed occupancy",507
"2021-06-06","2021-06-12","ON",,"COVID-19 ICU bed occupancy",455
"2021-06-13","2021-06-19","ON",,"COVID-19 hospitalizations",190
"2021-06-13","2021-06-19","ON",,"COVID-19 deaths",40
"2021-06-13","2021-06-19","ON",,"COVID-19 hospital bed occupancy",375
"2021-06-13","2021-06-19","ON",,"COVID-19 ICU bed occupancy",364
"2021-06-20","2021-06-26","ON",,"COVID-19 hospitalizations",160
"2021-06-20","2021-06-26","ON",,"COVID-19 deaths",38
"2021-06-20","2021-06-26","ON",,"COVID-19 hospital bed occupancy",285
"2021-06-20","2021-06-26","ON",,"COVID-19 ICU bed occupancy",300
"2021-06-27","2021-07-03","ON",,"COVID-19 hospitalizations",117
"2021-06-27","2021-07-03","ON",,"COVID-19 deaths",30
"2021-06-27","2021-07-03","ON",,"COVID-19 hospital bed occupancy",228
"2021-06-27","2021-07-03","ON",,"COVID-19 ICU bed occupancy",260
"2021-07-04","2021-07-10","ON",,"COVID-19 hospitalizations",103
"2021-07-04","2021-07-10","ON",,"COVID-19 deaths",39
"2021-07-04","2021-07-10","ON",,"COVID-19 hospital bed occupancy",184
"2021-07-04","2021-07-10","ON",,"COVID-19 ICU bed occupancy",213
"2021-07-11","2021-07-17","ON",,"COVID-19 hospitalizations",80
"2021-07-11","2021-07-17","ON",,"COVID-19 deaths",29
"2021-07-11","2021-07-17","ON",,"COVID-19 hospital bed occupancy",157
"2021-07-11","2021-07-17","ON",,"COVID-19 ICU bed occupancy",172
"2021-07-18","2021-07-24","ON",,"COVID-19 hospitalizations",63
"2021-07-18","2021-07-24","ON",,"COVID-19 deaths",15
"2021-07-18","2021-07-24","ON",,"COVID-19 hospital bed occupancy",136
"2021-07-18","2021-07-24","ON",,"COVID-19 ICU bed occupancy",140
"2021-07-25","2021-07-31","ON",,"COVID-19 hospitalizations",55
"2021-07-25","2021-07-31","ON",,"COVID-19 deaths",15
"2021-07-25","2021-07-31","ON",,"COVID-19 hospital bed occupancy",112
"2021-07-25","2021-07-31","ON",,"COVID-19 ICU bed occupancy",120
"2021-08-01","2021-08-07","ON",,"COVID-19 hospitalizations",93
"2021-08-01","2021-08-07","ON",,"COVID-19 deaths",12
"2021-08-01","2021-08-07","ON",,"COVID-19 hospital bed occupancy",119
"2021-08-01","2021-08-07","ON",,"COVID-19 ICU bed occupancy",110
"2021-08-08","2021-08-14","ON",,"COVID-19 hospitalizations",112
"2021-08-08","2021-08-14","ON",,"COVID-19 deaths",11
"2021-08-08","2021-08-14","ON",,"COVID-19 hospital bed occupancy",131
"2021-08-08","2021-08-14","ON",,"COVID-19 ICU bed occupancy",112
"2021-08-15","2021-08-21","ON",,"COVID-19 hospitalizations",179
"2021-08-15","2021-08-21","ON",,"COVID-19 deaths",11
"2021-08-15","2021-08-21","ON",,"COVID-19 hospital bed occupancy",205
"2021-08-15","2021-08-21","ON",,"COVID-19 ICU bed occupancy",130
"2021-08-22","2021-08-28","ON",,"COVID-19 hospitalizations",224
"2021-08-22","2021-08-28","ON",,"COVID-19 deaths",17
"2021-08-22","2021-08-28","ON",,"COVID-19 hospital bed occupancy",314
"2021-08-22","2021-08-28","ON",,"COVID-19 ICU bed occupancy",159
"2021-08-29","2021-09-04","ON",,"COVID-19 hospitalizations",261
"2021-08-29","2021-09-04","ON",,"COVID-19 deaths",30
"2021-08-29","2021-09-04","ON",,"COVID-19 hospital bed occupancy",334
"2021-08-29","2021-09-04","ON",,"COVID-19 ICU bed occupancy",166
"2021-09-05","2021-09-11","ON",,"COVID-19 hospitalizations",226
"2021-09-05","2021-09-11","ON",,"COVID-19 deaths",47
"2021-09-05","2021-09-11","ON",,"COVID-19 hospital bed occupancy",365
"2021-09-05","2021-09-11","ON",,"COVID-19 ICU bed occupancy",186
"2021-09-12","2021-09-18","ON",,"COVID-19 hospitalizations",213
"2021-09-12","2021-09-18","ON",,"COVID-19 deaths",38
"2021-09-12","2021-09-18","ON",,"COVID-19 hospital bed occupancy",330
"2021-09-12","2021-09-18","ON",,"COVID-19 ICU bed occupancy",189
"2021-09-19","2021-09-25","ON",,"COVID-19 hospitalizations",212
"2021-09-19","2021-09-25","ON",,"COVID-19 deaths",37
"2021-09-19","2021-09-25","ON",,"COVID-19 hospital bed occupancy",310
"2021-09-19","2021-09-25","ON",,"COVID-19 ICU bed occupancy",183
"2021-09-26","2021-10-02","ON",,"COVID-19 hospitalizations",180
"2021-09-26","2021-10-02","ON",,"COVID-19 deaths",33
"2021-09-26","2021-10-02","ON",,"COVID-19 hospital bed occupancy",285
"2021-09-26","2021-10-02","ON",,"COVID-19 ICU bed occupancy",171
"2021-10-03","2021-10-09","ON",,"COVID-19 hospitalizations",178
"2021-10-03","2021-10-09","ON",,"COVID-19 deaths",37
"2021-10-03","2021-10-09","ON",,"COVID-19 hospital bed occupancy",265
"2021-10-03","2021-10-09","ON",,"COVID-19 ICU bed occupancy",154
"2021-10-10","2021-10-16","ON",,"COVID-19 hospitalizations",164
"2021-10-10","2021-10-16","ON",,"COVID-19 deaths",21
"2021-10-10","2021-10-16","ON",,"COVID-19 hospital bed occupancy",250
"2021-10-10","2021-10-16","ON",,"COVID-19 ICU bed occupancy",158
"2021-10-17","2021-10-23","ON",,"COVID-19 hospitalizations",164
"2021-10-17","2021-10-23","ON",,"COVID-19 deaths",33
"2021-10-17","2021-10-23","ON",,"COVID-19 hospital bed occupancy",262
"2021-10-17","2021-10-23","ON",,"COVID-19 ICU bed occupancy",153
"2021-10-24","2021-10-30","ON",,"COVID-19 hospitalizations",125
"2021-10-24","2021-10-30","ON",,"COVID-19 deaths",29
"2021-10-24","2021-10-30","ON",,"COVID-19 hospital bed occupancy",222
"2021-10-24","2021-10-30","ON",,"COVID-19 ICU bed occupancy",134
"2021-10-31","2021-11-06","ON",,"COVID-19 hospitalizations",170
"2021-10-31","2021-11-06","ON",,"COVID-19 deaths",25
"2021-10-31","2021-11-06","ON",,"COVID-19 hospital bed occupancy",226
"2021-10-31","2021-11-06","ON",,"COVID-19 ICU bed occupancy",132
"2021-11-07","2021-11-13","ON",,"COVID-19 hospitalizations",205
"2021-11-07","2021-11-13","ON",,"COVID-19 deaths",36
"2021-11-07","2021-11-13","ON",,"COVID-19 hospital bed occupancy",267
"2021-11-07","2021-11-13","ON",,"COVID-19 ICU bed occupancy",132
"2021-11-14","2021-11-20","ON",,"COVID-19 hospitalizations",199
"2021-11-14","2021-11-20","ON",,"COVID-19 deaths",37
"2021-11-14","2021-11-20","ON",,"COVID-19 hospital bed occupancy",279
"2021-11-14","2021-11-20","ON",,"COVID-19 ICU bed occupancy",134
"2021-11-21","2021-11-27","ON",,"COVID-19 hospitalizations",206
"2021-11-21","2021-11-27","ON",,"COVID-19 deaths",26
"2021-11-21","2021-11-27","ON",,"COVID-19 hospital bed occupancy",270
"2021-11-21","2021-11-27","ON",,"COVID-19 ICU bed occupancy",136
"2021-11-28","2021-12-04","ON",,"COVID-19 hospitalizations",238
"2021-11-28","2021-12-04","ON",,"COVID-19 deaths",39
"2021-11-28","2021-12-04","ON",,"COVID-19 hospital bed occupancy",296
"2021-11-28","2021-12-04","ON",,"COVID-19 ICU bed occupancy",154
"2021-12-05","2021-12-11","ON",,"COVID-19 hospitalizations",280
"2021-12-05","2021-12-11","ON",,"COVID-19 deaths",51
"2021-12-05","2021-12-11","ON",,"COVID-19 hospital bed occupancy",333
"2021-12-05","2021-12-11","ON",,"COVID-19 ICU bed occupancy",157
"2021-12-12","2021-12-18","ON",,"COVID-19 hospitalizations",317
"2021-12-12","2021-12-18","ON",,"COVID-19 deaths",45
"2021-12-12","2021-12-18","ON",,"COVID-19 hospital bed occupancy",372
"2021-12-12","2021-12-18","ON",,"COVID-19 ICU bed occupancy",159
"2021-12-19","2021-12-25","ON",,"COVID-19 hospitalizations",405
"2021-12-19","2021-12-25","ON",,"COVID-19 deaths",53
"2021-12-19","2021-12-25","ON",,"COVID-19 hospital bed occupancy",503
"2021-12-19","2021-12-25","ON",,"COVID-19 ICU bed occupancy",166
"2021-12-26","2022-01-01","ON",,"COVID-19 hospitalizations",952
"2021-12-26","2022-01-01","ON",,"COVID-19 deaths",89
