"date","source","date_start","date_end","region","sub_region_1","cases","cases_weekly","cumulative_cases_since_2023-08-27","cumulative_cases_since_2023-08-27_weekly_diff","deaths","deaths_weekly","cumulative_deaths_since_2023-08-27","cumulative_deaths_since_2023-08-27_weekly_diff","new_hospitalizations","new_hospitalizations_weekly","cumulative_new_hospitalizations_since_2023-08-27","cumulative_new_hospitalizations_since_2023-08-27_weekly_diff","new_icu","new_icu_weekly","cumulative_new_icu_since_2023-08-27","cumulative_new_icu_since_2023-08-27_weekly_diff","percent_positivity_weekly","cumulative_percent_positivity_since_2023-08-27","notes"
"2023-10-17","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-40.pdf","2023-10-01","2023-10-07","NB","Zone 5",2,2,19,2,,,,,,,,,,,,,8,15,
"2023-10-17","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-40.pdf","2023-10-01","2023-10-07","NB","Zone 6",5,5,72,5,,,,,,,,,,,,,10,17,
"2023-10-17","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-40.pdf","2023-10-01","2023-10-07","NB","Zone 7",4,4,31,4,,,,,,,,,,,,,10,12,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB",,152,154,774,152,3,3,14,3,69,57,366,69,2,2,23,2,17,14,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 1",33,33,231,33,,,,,,,,,,,,,14,14,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 2",55,56,203,55,,,,,,,,,,,,,24,19,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 3",28,28,147,28,,,,,,,,,,,,,12,10,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 4",15,15,50,15,,,,,,,,,,,,,22,14,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 5",6,7,25,6,,,,,,,,,,,,,23,16,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 6",8,8,80,8,,,,,,,,,,,,,15,16,
"2023-10-24","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-41.pdf","2023-10-08","2023-10-14","NB","Zone 7",7,7,38,7,,,,,,,,,,,,,10,12,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB",,137,137,911,137,4,4,18,4,59,58,425,59,2,1,25,2,15,14,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 1",31,31,262,31,,,,,,,,,,,,,12,13,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 2",43,43,246,43,,,,,,,,,,,,,22,20,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 3",31,31,178,31,,,,,,,,,,,,,12,11,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 4",11,11,61,11,,,,,,,,,,,,,20,15,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 5",9,9,34,9,,,,,,,,,,,,,23,18,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 6",2,2,82,2,,,,,,,,,,,,,5,16,
"2023-10-31","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-42.pdf","2023-10-15","2023-10-21","NB","Zone 7",10,10,48,10,,,,,,,,,,,,,16,12,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB",,124,128,1035,124,3,3,21,3,67,57,492,67,1,1,26,1,14,14,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 1",42,43,304,42,,,,,,,,,,,,,14,13,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 2",28,31,274,28,,,,,,,,,,,,,18,19,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 3",27,27,205,27,,,,,,,,,,,,,11,11,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 4",10,10,71,10,,,,,,,,,,,,,15,15,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 5",1,1,35,1,,,,,,,,,,,,,5,16,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 6",3,3,85,3,,,,,,,,,,,,,6,15,
"2023-11-07","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-43.pdf","2023-10-22","2023-10-28","NB","Zone 7",13,13,61,13,,,,,,,,,,,,,17,13,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB",,116,114,1151,116,2,2,23,2,65,52,557,65,5,4,31,5,12,14,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 1",40,38,344,40,,,,,,,,,,,,,15,14,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 2",27,27,301,27,,,,,,,,,,,,,17,19,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 3",22,22,227,22,,,,,,,,,,,,,8,10,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 4",1,1,72,1,,,,,,,,,,,,,2,14,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 5",3,3,38,3,,,,,,,,,,,,,14,16,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 6",6,6,91,6,,,,,,,,,,,,,9,14,
"2023-11-15","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-44.pdf","2023-10-29","2023-11-04","NB","Zone 7",17,17,78,17,,,,,,,,,,,,,19,14,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB",,124,122,1275,124,4,4,27,4,51,44,608,51,2,3,33,2,13,14,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 1",34,34,378,34,,,,,,,,,,,,,13,14,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 2",43,42,344,43,,,,,,,,,,,,,20,19,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 3",21,20,248,21,,,,,,,,,,,,,8,10,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 4",7,7,79,7,,,,,,,,,,,,,16,14,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 5",2,2,40,2,,,,,,,,,,,,,15,16,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 6",12,12,103,12,,,,,,,,,,,,,16,14,
"2023-11-21","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-45.pdf","2023-11-05","2023-11-11","NB","Zone 7",5,5,83,5,,,,,,,,,,,,,8,13,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB",,162,161,1437,162,2,2,29,2,92,71,700,92,6,5,39,6,16,14,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 1",47,47,425,47,,,,,,,,,,,,,14,14,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 2",27,27,371,27,,,,,,,,,,,,,17,19,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 3",35,35,283,35,,,,,,,,,,,,,13,10,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 4",12,12,91,12,,,,,,,,,,,,,21,15,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 5",3,3,43,3,,,,,,,,,,,,,18,16,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 6",15,15,118,15,,,,,,,,,,,,,17,15,
"2023-11-28","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-46.pdf","2023-11-12","2023-11-18","NB","Zone 7",23,22,106,23,,,,,,,,,,,,,,,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB",,153,153,1590,153,4,4,33,4,65,63,765,65,3,3,42,3,15,14,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 1",67,67,492,67,,,,,,,,,,,,,21,14,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 2",21,21,392,21,,,,,,,,,,,,,11,18,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 3",16,16,299,16,,,,,,,,,,,,,7,10,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 4",6,6,97,6,,,,,,,,,,,,,10,14,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 5",3,3,46,3,,,,,,,,,,,,,16,16,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 6",18,18,136,18,,,,,,,,,,,,,25,16,
"2023-12-05","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-47.pdf","2023-11-19","2023-11-25","NB","Zone 7",22,22,128,22,,,,,,,,,,,,,21,15,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB",,138,138,1728,138,2,2,35,2,52,51,817,52,6,7,48,6,13,14,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 1",42,42,534,42,,,,,,,,,,,,,13,14,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 2",34,34,426,34,,,,,,,,,,,,,21,19,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 3",19,19,318,19,,,,,,,,,,,,,7,10,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 4",12,12,109,12,,,,,,,,,,,,,18,14,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 5",7,7,53,7,,,,,,,,,,,,,25,17,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 6",13,13,149,13,,,,,,,,,,,,,15,16,
"2023-12-12","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-48.pdf","2023-11-26","2023-12-02","NB","Zone 7",11,11,139,11,,,,,,,,,,,,,11,15,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB",,168,167,1896,168,2,2,37,2,73,73,890,73,6,6,54,6,13,14,
